SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2009/3603,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2009-10-19,2009-10-20,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3604,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2009-10-19,2009-10-20,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3605,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2009-10-19,2009-10-20,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3606,Exe,B026E,Teignbridge DC,SX97808090,Pool,2009-10-19,2009-10-20,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3607,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2009-10-19,2009-10-20,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3608,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2009-10-19,2009-10-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3609,North Kent Coast,B17BD,Thanet DC,TR27406970,Minnis Bay,2009-10-19,2009-10-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3610,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2009-10-19,2009-10-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3611,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2009-10-19,2009-10-20,Cockles,,,,,NEGATIVE,,
BTX/2009/3612,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2009-10-19,2009-10-20,Pacific Oysters,,,,,NEGATIVE,,
BTX/2009/3646,Dart,B028F,South Hams DC,SX87415599,Waddeton,2009-10-20,2009-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3647,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2009-10-19,2009-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3648,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2009-10-20,2009-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3649,The Wash,B003D,Boston BC,TF44403720,Maretail,2009-10-20,2009-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3650,Walton Backwaters,B011R,Tendring DC ,TM22142478,Kirby Creek,2009-10-20,2009-10-21,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3651,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2009-10-19,2009-10-21,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3652,The Wash,B003L,Boston BC,TF47604700,Wrangle,2009-10-20,2009-10-21,Cockles,Insufficient,,,,NEGATIVE,<RL,
BTX/2009/3656,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2009-10-21,2009-10-22,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3657,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2009-10-21,2009-10-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3658,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2009-10-21,2009-10-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3659,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2009-10-21,2009-10-22,Cockles,,,,,NEGATIVE,,
BTX/2009/3664,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2009-10-22,2009-10-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3665,Lymington River,B083A,New Forest DC,SZ32909562,Railway Bridge,2009-10-22,2009-10-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3666,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2009-10-22,2009-10-23,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3691,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2009-10-26,2009-10-27,Mussels,NG,,,Unable to analyse - lab error,,<RL,Additional flesh sample requested
BTX/2009/3692,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2009-10-26,2009-10-27,Mussels,NG,,,Unable to analyse - lab error,,<RL,Additional flesh sample requested
BTX/2009/3693,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2009-10-26,2009-10-27,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3694,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2009-10-26,2009-10-27,Mussels,NG,,,Unable to analyse - lab error,,<RL,Additional flesh sample requested
BTX/2009/3695,The Solent,B024A,Isle of Wight Council,SZ53009630,Osborne Bay,2009-10-26,2009-10-27,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3696,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2009-10-26,2009-10-27,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3728,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2009-10-27,2009-10-28,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3729,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2009-10-27,2009-10-28,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3730,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2009-10-27,2009-10-28,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3731,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2009-10-27,2009-10-28,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3736,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2009-10-28,2009-10-29,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3768,Blakeney,B006N,North Norfolk DC,TF91804550,Wells Beacon,2009-11-02,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3769,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2009-11-02,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3770,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2009-11-02,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3771,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2009-11-01,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3772,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2009-11-01,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3773,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2009-11-02,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3774,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2009-11-02,2009-11-03,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3775,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2009-11-02,2009-11-03,Surf Clams,,,ND,,NEGATIVE,<RL,
BTX/2009/3776,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2009-11-02,2009-11-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3800,Helford,B034Z,Falmouth and Truro PHA,SW80242337 ,Porthallow South,2009-11-03,2009-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3801,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2009-11-03,2009-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3802,Camel,B035W,North Cornwall DC,SW93547537,Porthilly Rock,2009-11-03,2009-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3803,Helford,B034A,Falmouth and Truro PHA,SW75332672 ,South of Porth Navas Bar,2009-11-03,2009-11-04,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3804,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2009-11-03,2009-11-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3819,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2009-11-04,2009-11-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3820,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2009-11-04,2009-11-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3821,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2009-11-04,2009-11-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3822,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2009-11-04,2009-11-05,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3823,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2009-11-04,2009-11-05,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3824,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2009-11-03,2009-11-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3854,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2009-11-09,2009-11-10,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3855,Fal,B033Y,Falmouth and Truro PHA,SW85024095,R Pontoon/Tregothnan,2009-11-09,2009-11-10,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3856,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2009-11-09,2009-11-10,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3857,The Solent,B24AK,Southampton PHA,SU48610053 ,Off Stanswood,2009-11-09,2009-11-10,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3858,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2009-11-09,2009-11-10,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3859,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2009-11-09,2009-11-10,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3860,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2009-11-10,2009-11-10,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3883,St. Austell Bay ,B070W,Fowey PHA,SX04414929,St. Austell Bay ,2009-11-10,2009-11-11,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3884,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2009-11-10,2009-11-11,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3885,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2009-11-10,2009-11-11,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3886,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2009-11-10,2009-11-11,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3887,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2009-11-10,2009-11-11,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3888,Poole,B054P,Poole BC,SY99448968,Hamworthy,2009-11-10,2009-11-11,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3889,Dee,B045S,Flintshire CC,SJ17648100,Salisbury Bank,2009-11-10,2009-11-11,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3904,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2009-11-11,2009-11-12,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3905,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2009-11-11,2009-11-12,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3906,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2009-11-10,2009-11-12,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3907,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2009-11-11,2009-11-12,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3926,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2009-11-15,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3927,Menai Strait East,B055N,Gwynedd CC,SH59007370,Bangor,2009-11-15,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3928,Lyme Bay,B090K,East Devon DC,SY12068682,Chit Rocks,2009-11-16,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3929,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2009-11-16,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3930,Exe,B026E,Teignbridge DC,SX97808090,Pool,2009-11-16,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3931,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2009-11-16,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3932,Dart,B028F,South Hams DC,SX87415599,Waddeton,2009-11-16,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3933,The Wash,B003D,Boston BC,TF44403720,Maretail,2009-11-16,2009-11-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3934,The Wash,B003L,Boston BC,TF47604700,Wrangle,2009-11-16,2009-11-17,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3935,Stour Estuary,B061A,Thanet DC,TR35806340,Pegwell Bay,2009-11-16,2009-11-17,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3936,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2009-11-16,2009-11-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3937,Lymington River,B083A,New Forest DC,SZ32909562,Railway Bridge,2009-11-16,2009-11-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3938,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2009-11-16,2009-11-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3939,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2009-11-16,2009-11-17,Native Oysters,Not tested,,,Not tested,,Not tested,
BTX/2009/3940,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2009-11-17,2009-11-17,Pacific Oysters,,,,,NEGATIVE,,
BTX/2009/3975,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2009-11-16,2009-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3976,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2009-11-17,2009-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3977,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2009-11-17,2009-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3978,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2009-11-17,2009-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3979,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2009-11-17,2009-11-18,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3980,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2009-11-17,2009-11-18,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/3981,Walton Backwaters,B011R,Tendring DC ,TM22142478,Kirby Creek,2009-11-17,2009-11-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/3997,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2009-11-18,2009-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/3998,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2009-11-17,2009-11-19,Mussels,NG,,,,,,
BTX/2009/3999,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2009-11-18,2009-11-19,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4000,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2009-11-18,2009-11-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4001,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2009-11-19,2009-11-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4022,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2009-11-23,2009-11-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4023,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2009-11-23,2009-11-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4024,West Mersea,B013H,Colchester BC,TL99941328,Strood Channel,2009-11-23,2009-11-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4033,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2009-11-24,2009-11-25,Mussels,NG,,,,NEGATIVE,Insufficient,Additional flesh sample requested
BTX/2009/4034,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2009-11-24,2009-11-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4035,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2009-11-24,2009-11-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4036,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2009-11-23,2009-11-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4051,The Solent,B024A,Isle of Wight Council,SZ53009630,Osborne Bay,2009-11-24,2009-11-26,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4052,Medina,B063B,Isle of Wight Council,SZ50109510,Medina Wharf,2009-11-24,2009-11-26,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4056,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2009-11-26,2009-11-27,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4057,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2009-11-26,2009-11-27,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4072,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2009-11-30,2009-12-01,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4073,Bigbury and Avon,B030D,South Hams DC,SX67074458,South Hexdown,2009-11-30,2009-12-01,Pacific Oysters,Not tested,,,,Not Tested,Not Tested,
BTX/2009/4074,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2009-11-30,2009-12-01,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4075,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2009-11-30,2009-12-01,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4076,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2009-12-01,2009-12-01,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4101,Dart,B028F,South Hams DC,SX87415599,Waddeton,2009-12-01,2009-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4102,Poole,B054P,Poole BC,SY99448968,Hamworthy,2009-12-01,2009-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4103,Blakeney,B006N,North Norfolk DC,TF91804550,Wells Beacon,2009-12-01,2009-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4104,Helford,B034Z,Falmouth and Truro PHA,SW80242337 ,Porthallow South,2009-12-01,2009-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4105,Helford,B034V,Falmouth and Truro PHA,SW75332672 ,South of Porth Navas Bar,2009-12-01,2009-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4106,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2009-12-01,2009-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4107,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2009-12-01,2009-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4108,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2009-12-01,2009-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4109,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2009-12-01,2009-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4125,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2009-12-02,2009-12-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4126,Camel,B035X,North Cornwall DC,SW93427537,Porthilly Cove,2009-12-02,2009-12-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4127,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2009-12-02,2009-12-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4128,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2009-12-02,2009-12-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4129,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2009-12-02,2009-12-03,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4130,The Solent,B24AK,Southampton PHA,SU48610053 ,Off Stanswood,2009-12-01,2009-12-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4139,Menai Strait East,B055N,Gwynedd CC,SH59007370,Bangor,2009-12-02,2009-12-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4140,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2009-12-02,2009-12-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4141,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2009-12-03,2009-12-04,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4159,Silloth,B059H,Allerdale DC,NY11005430,Silloth,2009-12-07,2009-12-08,Mussels,NG,,,Insufficient,,<RL,Additional flesh sample requested
BTX/2009/4160,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2009-12-07,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4161,Fal,B033Y,Falmouth and Truro PHA,SW85024095,R Pontoon/Tregothnan,2009-12-07,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4162,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2009-12-07,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4163,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2009-12-07,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4164,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2009-12-07,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4165,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2009-12-06,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4166,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2009-12-06,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4167,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2009-12-07,2009-12-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4168,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2009-12-07,2009-12-08,Native Oysters,NG,,,Insufficient,,<RL,Additional flesh sample requested
BTX/2009/4169,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2009-12-07,2009-12-08,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4170,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2009-12-07,2009-12-08,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4171,Dee,B045S,Flintshire CC,SJ17648100,Salisbury Bank,2009-12-07,2009-12-08,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4172,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2009-12-07,2009-12-08,Cockles,Not tested,,,Not tested,,Not tested,
BTX/2009/4173,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2009-12-08,2009-12-08,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4201,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2009-12-08,2009-12-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4202,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2009-12-08,2009-12-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4203,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2009-12-08,2009-12-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4204,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2009-12-08,2009-12-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4205,The Wash,B003D,Boston BC,TF44403720,Maretail,2009-12-08,2009-12-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4206,The Wash,B003L,Boston BC,TF47604700,Wrangle,2009-12-07,2009-12-09,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4207,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2009-12-07,2009-12-09,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4208,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2009-12-08,2009-12-09,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2009/4209,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2009-12-07,2009-12-09,Cockles,NG,,,Insufficient,,<RL,Additional flesh sample requested
BTX/2009/4210,Walton Backwaters,B011R,Tendring DC ,TM22142478,Kirby Creek,2009-12-08,2009-12-09,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4211,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2009-12-08,2009-12-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4212,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2009-12-08,2009-12-09,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2009/4213,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2009-12-08,2009-12-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4228,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2009-12-09,2009-12-10,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4229,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2009-12-09,2009-12-10,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4230,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2009-12-09,2009-12-10,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2009/4231,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2009-12-09,2009-12-10,Native Oysters,NG,,,,NEGATIVE,<RL,
