SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2011/0270,The Wash,B003D,Boston BC,TF44403720,Maretail,2011-02-08,2011-02-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0271,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-02-08,2011-02-09,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/0272,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2011-02-08,2011-02-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0273,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2011-02-08,2011-02-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0274,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2011-02-08,2011-02-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0275,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-02-08,2011-02-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0276,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2011-02-08,2011-02-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0277,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2011-02-08,2011-02-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0278,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-02-08,2011-02-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0279,Fal,B033P,Cornwall PHA,SW83883621,East Bank,2011-02-08,2011-02-09,Native Oysters,NG,,,Insufficient,,<RL,Additional flesh sample requested
BTX/2011/0280,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-02-08,2011-02-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0281,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2011-02-09,2011-02-10,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0292,Walton Backwaters,B011R,Tendring DC ,TM22142478,Kirby Creek,2011-02-09,2011-02-10,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0302,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-02-14,2011-02-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0303,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-02-15,2011-02-15,Pacific Oysters,NG,,,,,<RL,
BTX/2011/0315,Blakeney,B006R,North Norfolk DC,TF91814545,Wells ? The Pool,2011-02-15,2011-02-16,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0316,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2011-02-14,2011-02-16,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0317,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2011-02-14,2011-02-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0318,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2011-02-15,2011-02-16,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0319,The Solent,B24AK,Southampton PHA,SU48610053 ,Off Stanswood,2011-02-14,2011-02-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0325,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-02-16,2011-02-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0326,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2011-02-16,2011-02-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0327,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-02-16,2011-02-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0328,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-02-16,2011-02-17,Mussels,NG,,,,NEGATIVE,Insufficient,Additional flesh sample requested
BTX/2011/0329,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2011-02-16,2011-02-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0330,West Mersea,B013H,Colchester BC,TL99941328,Strood Channel,2011-02-16,2011-02-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0332,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-02-17,2011-02-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0333,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2011-02-17,2011-02-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0334,Beaulieu,B023E,New Forest DC,SU39600145,Baileys Hard ,2011-02-17,2011-02-18,Manila Clams,,,ND,,NEGATIVE,<RL,
BTX/2011/0335,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2011-02-17,2011-02-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0349,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-02-21,2011-02-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0350,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-02-21,2011-02-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0351,Dart,B028F,South Hams DC,SX87415599,Waddeton,2011-02-21,2011-02-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0352,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2011-02-21,2011-02-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0353,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-02-21,2011-02-22,Mussels,,,,,,<RL,
