SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCSemiquantResult,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2016/1967,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-06-22,2016-06-23,Pacific oysters,ND,,,,,,,
BTX/2016/1968,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2016-06-22,2016-06-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1969,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2016-06-22,2016-06-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1970,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2016-06-22,2016-06-23,Pacific oysters,ND,,,,,,,
BTX/2016/1992,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2016-06-27,2016-06-28,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1993,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-06-27,2016-06-28,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2025,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-06-28,2016-06-29,Mussels,ND,,,53,<RL,<RL,<LOQ,
BTX/2016/2026,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-06-28,2016-06-29,Mussels,ND,,,128,<RL,<RL,<LOQ,
BTX/2016/2027,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-06-28,2016-06-29,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2028,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-06-28,2016-06-29,Mussels,ND,,,27,<RL,<RL,<LOQ,
BTX/2016/2029,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-06-28,2016-06-29,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2030,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-06-28,2016-06-29,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2031,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-06-28,2016-06-29,Pacific oysters,Detected,>400,1071,<RL,<RL,<RL,<LOQ,Additional flesh and water samples required
BTX/2016/2032,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2016-06-28,2016-06-29,Mussels,ND,,,,,,,
BTX/2016/2051,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-06-28,2016-06-30,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2052,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-06-28,2016-06-30,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2053,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-06-28,2016-06-30,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2054,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-06-29,2016-06-30,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2055,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-06-28,2016-06-30,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/2056,Dee,B45AB,Flintshire CC,SJ1757480336,Salisbury,2016-06-29,2016-06-30,Cockles,,,,,,,<LOQ,
BTX/2016/2057,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2016-06-29,2016-06-30,Pacific oysters,ND,,,,,,,
BTX/2016/2058,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2016-06-29,2016-06-30,Mussels,ND,,,,,,<LOQ,
