SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg),ActionRequired
BTX/2019/1267,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2019-06-25,2019-06-26,Mussels,ND,,,,,,,
BTX/2019/1268,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2019-06-25,2019-06-26,Mussels,ND,,,,,,,
BTX/2019/1269,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2019-06-24,2019-06-26,Mussels,ND,,,,,,,
BTX/2019/1277,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2019-06-26,2019-06-27,Mussels,,,,51,<RL,<RL,,
BTX/2019/1278,Beaulieu,B023I,New Forest DC,SU40280135,Landing Stage,2019-06-27,2019-06-28,Manila clams,not analysed,not analysed,,not analysed,not analysed,not analysed,not analysed,
BTX/2019/1298,Three Rivers,B071O,Carmarthenshire CC,SN36570690,Pastoun Scar,2019-07-01,2019-07-02,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/1299,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2019-07-01,2019-07-02,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1300,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2019-07-01,2019-07-02,Mussels,ND,,,,,,,
BTX/2019/1301,St. Austell Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2019-07-01,2019-07-02,Mussels,ND,,,70,<RL,<RL,<LOQ,
BTX/2019/1302,St. Austell Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2019-07-01,2019-07-02,Razors,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1303,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2019-07-01,2019-07-02,Mussels,ND,,,109,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2019/1304,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF798784558,Norton Creek Mussels,2019-07-01,2019-07-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1305,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2019-07-01,2019-07-02,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/1306,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2019-07-01,2019-07-02,Mussels,ND,,,,,,<LOQ,
BTX/2019/1307,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2019-07-01,2019-07-02,Mussels,ND,,,,,,,
BTX/2019/1308,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148027,Nodwydd,2019-07-01,2019-07-02,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1309,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2019-07-02,2019-07-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1312,Porthallow Cove,B34AA,Cornwall PHA,SW80212387,Porthallow North,2019-07-02,2019-07-03,Mussels,,,,,,,<LOQ,
BTX/2019/1313,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2019-07-02,2019-07-03,Mussels,,,,,,,<LOQ,
BTX/2019/1314,Helford,B034W,Cornwall PHA,SW75512764,Porth Navas Quay,2019-07-02,2019-07-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1315,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2019-07-02,2019-07-03,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/1316,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2019-07-02,2019-07-03,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1317,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2019-07-02,2019-07-03,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1318,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2019-07-02,2019-07-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1319,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2019-07-02,2019-07-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1320,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2019-07-01,2019-07-03,Mussels,,,,,,,<LOQ,
BTX/2019/1321,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2019-07-02,2019-07-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1322,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2019-07-02,2019-07-03,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/1323,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2019-07-02,2019-07-03,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/1324,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2019-07-02,2019-07-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1325,Poole,B54CL,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2019-07-02,2019-07-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1361,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2019-07-03,2019-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1362,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2019-07-03,2019-07-04,Mussels,ND,,,31,<RL,<RL,<LOQ,
BTX/2019/1363,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2019-07-03,2019-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
