SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2013/1116,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow ,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1117,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1118,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2013-05-07,2013-05-08,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1119,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2013-05-07,2013-05-08,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1120,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1121,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1122,Teign,B027G,Teignbridge DC,SX92737273,Gas Works ,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1123,Exe,B026E,Teignbridge DC,SX97808090,Pool,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1147,Roach,B73AF,London PHA,TQ94909207,Paglesham,2013-05-08,2013-05-09,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1148,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2013-05-08,2013-05-09,Cockles,ND,,<RL,<RL,<RL,<LOQ,
