SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2014/2083,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-07-14,2014-07-15,Mussels,,,2065,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2084,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-07-14,2014-07-15,Mussels,ND,,451,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2014/2085,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2014-07-14,2014-07-15,Mussels,Not Tested,,Not Tested,Not Tested,Not Tested,Not Tested,
BTX/2014/2086,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2014-07-14,2014-07-15,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2087,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2014-07-14,2014-07-15,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2088,Teign,B27AD,Teignbridge DC,SX92107237,Devon Valley West,2014-07-14,2014-07-15,Mussels,ND,,<RL,<RL,<RL,3.7,
BTX/2014/2089,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2014-07-14,2014-07-15,Mussels,ND,,<RL,<RL,<RL,3,
BTX/2014/2090,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2014-07-14,2014-07-15,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2091,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2014-07-14,2014-07-15,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2097,Colne,B012F,Colchester BC,TM06341617,Pyefleet Spit,2014-07-14,2014-07-15,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2099,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2014-07-14,2014-07-15,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2100,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2014-07-15,2014-07-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2101,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2014-07-15,2014-07-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2102,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2014-07-15,2014-07-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2103,Dee,B45AB,Flintshire CC,SJ1736080364,Salisbury,2014-07-15,2014-07-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2104,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2014-07-15,2014-07-16,Mussels,ND,,<RL,<RL,<RL,7.9,
BTX/2014/2105,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2014-07-15,2014-07-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2108,Blackwater,B014V,Maldon DC,TL9112079,Goldhanger,2014-07-15,2014-07-16,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2153,Duddon,B052D,Barrow-in-Furness BC,SD16897651,Duddon Channel,2014-07-16,2014-07-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2154,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2014-07-16,2014-07-17,Pacific oysters,ND,,<RL,<RL,<RL,,
BTX/2014/2155,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2014-07-15,2014-07-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2156,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2014-07-15,2014-07-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2157,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2014-07-16,2014-07-17,Mussels,Detected,<400,,,,,
BTX/2014/2158,Langstone Harbour,B019I,Portsmouth PHA,SU70563039,Stoke Common Lake,2014-07-16,2014-07-17,Hard clams,ND,,,,,,
BTX/2014/2163,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2014-07-17,2014-07-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2195,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2014-07-21,2014-07-22,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2196,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-07-21,2014-07-22,Mussels,,,3513,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2197,Teign,B27AD,Teignbridge DC,SX92107237,Devon Valley West,2014-07-21,2014-07-22,Mussels,,,<RL,<RL,<RL,,
BTX/2014/2198,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2014-07-21,2014-07-22,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2199,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,2014-07-21,2014-07-22,Pacific oysters,,,<RL,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2200,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-07-21,2014-07-22,Mussels,,,293,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2201,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2014-07-21,2014-07-22,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2202,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2014-07-21,2014-07-22,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2204,Swale,B076N,Swale BC,TQ96506616,North of Fowley Islands,2014-07-21,2014-07-22,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2220,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2014-07-22,2014-07-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2221,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2014-07-22,2014-07-23,Pacific oysters,ND,,,,,,
BTX/2014/2222,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2014-07-22,2014-07-23,Mussels,ND,,125,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2014/2223,Anglesey - Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2014-07-22,2014-07-23,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2224,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2014-07-22,2014-07-23,Mussels,ND,,,,,,
BTX/2014/2253,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2014-07-23,2014-07-24,Mussels,,,<RL,<RL,<RL,<LOQ,
BTX/2014/2254,Roach,B73AF,London PHA,TQ94909207,Paglesham,2014-07-23,2014-07-24,Hard clams,ND,,<RL,<RL,<RL,2.3,
BTX/2014/2257,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-07-24,2014-07-25,Mussels,ND,,46,<RL,<RL,<LOQ,
BTX/2014/2291,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,2014-07-28,2014-07-29,Pacific oysters,,,40,<RL,<RL,,
BTX/2014/2292,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-07-28,2014-07-29,Mussels,,,2366,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2293,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-07-28,2014-07-29,Mussels,,,623,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2294,The Wash,B003V,Boston BC,TF44234098,Toft,2014-07-28,2014-07-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2295,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2014-07-28,2014-07-29,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2296,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2014-07-28,2014-07-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2297,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2014-07-28,2014-07-29,Mussels,,,<RL,<RL,<RL,,
BTX/2014/2324,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2014-07-29,2014-07-30,Mussels,ND,,114,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2014/2325,Portsmouth Harbour,B020I,Portsmouth PHA,SU64920435,Tipner Bridge,2014-07-29,2014-07-30,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2326,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2014-07-28,2014-07-30,Mussels,ND,,,,,,
BTX/2014/2327,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2014-07-29,2014-07-30,Native oysters,,,<RL,<RL,<RL,,
BTX/2014/2344,Duddon,B052D,Barrow-in-Furness BC,SD16897651,Duddon Channel,2014-07-30,2014-07-31,Mussels,ND,,,,,,
BTX/2014/2345,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2014-07-30,2014-07-31,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2346,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2014-07-30,2014-07-31,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2353,West Mersea,B13AA,Colchester BC,TM02991215,West Mersea Outfall,2014-07-31,2014-08-01,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2381,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-08-04,2014-08-05,Mussels,,,3700,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2382,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,2014-08-04,2014-08-05,Pacific oysters,,,29,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2383,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2014-08-04,2014-08-05,Mussels,ND,,29,<RL,<RL,<LOQ,
BTX/2014/2384,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2014-08-04,2014-08-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2385,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2014-08-04,2014-08-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2386,Swale,B076N,Swale BC,TQ96506616,North of Fowley Islands,2014-08-04,2014-08-05,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2387,Portland,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2014-08-05,2014-08-05,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2417,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2014-08-05,2014-08-06,Mussels,,,122,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2418,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2014-08-04,2014-08-06,Pacific oysters,ND,,144,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2014/2420,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2014-08-05,2014-08-06,Mussels,,,54,<RL,<RL,<LOQ,
BTX/2014/2423,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2014-08-05,2014-08-06,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2424,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2014-08-05,2014-08-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2425,Portland,B25AE,Weymouth PHA,SY69947680,North Eastern Breakwater,2014-08-06,2014-08-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2436,Crouch,B015W,Maldon DC,TQ86459657,Purleigh Shawl,2014-08-06,2014-08-07,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2468,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2014-08-11,2014-08-12,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2469,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2014-08-11,2014-08-12,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2470,Colne,B012F,Colchester BC,TM06281622,Pyefleet Spit,2014-08-11,2014-08-12,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2471,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,2014-08-11,2014-08-12,Pacific oysters,ND,,17,<RL,<RL,<LOQ,
BTX/2014/2472,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-08-11,2014-08-12,Mussels,,,2043,<RL,<RL,,Additional flesh & water samples required
BTX/2014/2473,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2014-08-11,2014-08-12,Pacific oysters,ND,,,,,,
BTX/2014/2474,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2014-08-11,2014-08-12,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2475,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2014-08-11,2014-08-12,Mussels,ND,,110,<RL,<RL,<LOQ,Additional flesh & water samples required
BTX/2014/2476,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2014-08-11,2014-08-12,Pacific oysters,,,21,<RL,<RL,,
BTX/2014/2477,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2014-08-11,2014-08-12,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2478,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2014-08-11,2014-08-12,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2479,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-08-11,2014-08-12,Mussels,ND,,431,<RL,<RL,<LOQ,Additional flesh & water samples required
BTX/2014/2480,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2014-08-11,2014-08-12,Cockles,Detected,<400,<RL,<RL,<RL,<LOQ,
BTX/2014/2481,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2014-08-11,2014-08-12,Mussels,ND,,20,<RL,<RL,<LOQ,
BTX/2014/2483,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-08-11,2014-08-12,Mussels,,,317,<RL,<RL,,Additional flesh & water samples required
BTX/2014/2515,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2014-08-12,2014-08-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2516,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2014-08-12,2014-08-13,Mussels,Detected,<400,116,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2014/2517,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2014-08-11,2014-08-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2518,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2014-08-12,2014-08-13,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2519,Dee,B45AB,Flintshire CC,SJ17608040,Salisbury,2014-08-12,2014-08-13,Cockles,Detected,<400,<RL,<RL,<RL,<LOQ,
BTX/2014/2520,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2014-08-12,2014-08-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2521,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2014-08-12,2014-08-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2539,Morecambe Bay - Barrow,B077F,Barrow-in-Furness BC,SD24806340,Foulney Island,2014-08-13,2014-08-14,Mussels,,,73,<RL,<RL,,
BTX/2014/2540,Duddon,B052D,Barrow-in-Furness BC,SD16897651,Duddon Channel,2014-08-13,2014-08-14,Mussels,ND,,61,<RL,<RL,<LOQ,
BTX/2014/2541,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2014-08-13,2014-08-14,Mussels,ND,,,,,,
BTX/2014/2542,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2014-08-13,2014-08-14,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2543,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2014-08-13,2014-08-14,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2545,Chichester Harbour,B018N,Havant BC,SU72990439,Northney Marina,2014-08-14,2014-08-15,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2578,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2014-08-18,2014-08-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2579,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-08-18,2014-08-19,Mussels,,,583,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2580,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-08-18,2014-08-19,Mussels,,,223,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2581,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-08-18,2014-08-19,Mussels,,,1129,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2582,Poole,B54BL,Poole BC,SZ01818870,West Brownsea 1,2014-08-18,2014-08-19,Pacific oysters,ND,,,,,,
BTX/2014/2613,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2014-08-19,2014-08-20,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2614,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2014-08-19,2014-08-20,Mussels,Detected,<400,53,<RL,<RL,,
BTX/2014/2615,Teign,B27AD,Teignbridge DC,SX92107237,Devon Valley West,2014-08-19,2014-08-20,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2616,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2014-08-19,2014-08-20,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2629,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2014-08-20,2014-08-21,Mussels,,,41,<RL,<RL,,
BTX/2014/2630,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-08-20,2014-08-21,Mussels,Test not required,,Test not required,Test not required,Test not required,Test not required,
BTX/2014/2631,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2014-08-20,2014-08-21,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2632,Roach,B73AF,London PHA,TQ94909207,Paglesham,2014-08-20,2014-08-21,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2641,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2014-08-21,2014-08-22,Mussels,,,71,<RL,<RL,,
BTX/2014/2642,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2014-08-20,2014-08-22,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2699,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-08-26,2014-08-27,Mussels,,,405,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2700,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-08-26,2014-08-27,Mussels,,,156,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2701,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2014-08-26,2014-08-27,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2702,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2014-08-26,2014-08-27,Cockles,,,<RL,<RL,<RL,,
BTX/2014/2703,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2014-08-26,2014-08-27,Pacific oysters,ND,,,,,,
BTX/2014/2704,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2014-08-26,2014-08-27,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2705,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2014-08-26,2014-08-27,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2706,Anglesey - Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2014-08-26,2014-08-27,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2707,Portland,B25AE,Weymouth PHA,SY69947680,North Eastern Breakwater,2014-08-27,2014-08-27,Mussels,,,<RL,<RL,<RL,,
BTX/2014/2722,Duddon,B052D,Barrow-in-Furness BC,SD16897651,Duddon Channel,2014-08-27,2014-08-28,Mussels,ND,,63,<RL,<RL,,
BTX/2014/2723,North Kent Coast,B17AM,Canterbury CC,TR0814265429,Pollard,2014-08-27,2014-08-28,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2724,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2014-08-26,2014-08-28,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2725,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2014-08-26,2014-08-28,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2726,Chichester Harbour,B018N,Havant BC,SU72990439,Northney Marina,2014-08-27,2014-08-28,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2727,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-08-27,2014-08-28,Mussels,,,531,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2728,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2014-08-27,2014-08-28,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2730,The Wash,B003V,Boston BC,TF44234098,Toft,2014-08-27,2014-08-28,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2732,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2014-08-26,2014-08-28,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2733,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-08-28,2014-08-29,Mussels,Test not required,,Test not required,Test not required,Test not required,Test not required,
BTX/2014/2734,West Mersea,B13AA,Colchester BC,TM02991216,West Mersea Outfall,2014-08-28,2014-08-29,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2763,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2014-09-01,2014-09-02,Pacific oysters,ND,,,,,,
BTX/2014/2764,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2014-09-01,2014-09-02,Mussels,ND,,59,<RL,<RL,<LOQ,
BTX/2014/2765,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-09-01,2014-09-02,Mussels,,,196,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2766,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2014-09-01,2014-09-02,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2798,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2014-09-02,2014-09-03,Mussels,ND,,24,<RL,<RL,<LOQ,
BTX/2014/2799,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2014-09-02,2014-09-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2800,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2014-09-02,2014-09-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2801,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2014-09-02,2014-09-03,Mussels,Detected,<400,,,,,
BTX/2014/2814,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2014-09-03,2014-09-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2815,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-09-03,2014-09-04,Mussels,,,412,<RL,<RL,,Additional flesh and water samples required
BTX/2014/2821,Portland,B25AE,Weymouth PHA,SY6997680,North Eastern Breakwater,2014-09-08,2014-09-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2850,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2014-09-08,2014-09-09,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2851,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2014-09-08,2014-09-09,Mussels,,,282,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2852,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2014-09-08,2014-09-09,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2853,Fal,B33AQ,Cornwall PHA,SW84073879,Turnaware Pontoon,2014-09-08,2014-09-09,Native oysters,Detected,<400,<RL,<RL,<RL,<LOQ,
BTX/2014/2854,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2014-09-08,2014-09-09,Native oysters,Detected,<400,<RL,<RL,<RL,<LOQ,
BTX/2014/2855,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2014-09-08,2014-09-09,Native oysters,Detected,<400,17,<RL,<RL,<LOQ,
BTX/2014/2856,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2014-09-08,2014-09-09,Mussels,,,299,<RL,<RL,,Additional flesh and water samples requested
BTX/2014/2857,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2014-09-08,2014-09-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2858,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2014-09-08,2014-09-09,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2860,Portland,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2014-09-09,2014-09-09,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2888,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2014-09-09,2014-09-10,Mussels,ND,,98,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2014/2889,Dee,B45AB,Flintshire CC,SJ1736080364,Salisbury,2014-09-09,2014-09-10,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2890,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2014-09-08,2014-09-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2891,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2014-09-09,2014-09-10,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2014/2892,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2014-09-09,2014-09-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
