SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2018-1076,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2018-06-11,2018-06-12,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1093,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2018-06-12,2018-06-13,Mussels,ND,,,,,,,
BTX-2018-1094,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2018-06-12,2018-06-13,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1095,Roach,B73AF,London PHA,TQ94909207,Paglesham,2018-06-12,2018-06-13,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1096,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2018-06-12,2018-06-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1097,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2018-06-12,2018-06-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1098,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2018-06-12,2018-06-13,Mussels,,,,,,,<LOQ,
BTX-2018-1099,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2018-06-11,2018-06-13,Mussels,ND,,,147,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2018-1100,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2018-06-12,2018-06-13,Mussels,ND,,,100,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2018-1116,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2018-06-13,2018-06-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1117,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2018-06-13,2018-06-14,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1118,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2018-06-13,2018-06-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1119,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2018-06-13,2018-06-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1120,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2018-06-13,2018-06-14,Surf clams,ND,,,25,<RL,<RL,3.7,
BTX-2018-1121,Burry Inlet,B038I,City and Council of Swansea,SS5113994645,South East 4,2018-06-13,2018-06-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1122,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2018-06-13,2018-06-14,Mussels,ND,,,<RL,<RL,<RL,1.4,
