SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2005/0968,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2005-10-10,2005-10-11,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0968
BTX/2005/0969,Dee,B045S,Flintshire CC,SJ17608060,Salisbury Bank,2005-10-10,2005-10-11,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0969
BTX/2005/0970,Dee,B045R,Flintshire CC,SJ14908220,Mostyn/Talacre,2005-10-10,2005-10-11,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0970
BTX/2005/0971,Chichester Harbour,B018H,Chichester CC,SU77100360,Thorney Outfall,2005-10-10,2005-10-11,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0971
BTX/2005/0972,Bigbury and Avon,B030D,South Hams DC,SX67254489,Hexdown Quay,2005-10-10,2005-10-11,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/0972
BTX/2005/0973,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2005-10-10,2005-10-11,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/0973
BTX/2005/0974,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2005-10-10,2005-10-11,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0974
BTX/2005/0975,The Thames,B016R,London PHA,TQ937749,Barton Point,2005-10-10,2005-10-11,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0975
BTX/2005/0976,Liverpool Bay- N. Wirral,B058D,Mersey PHA,SJ250920,Leasowe Lighthouse,2005-10-10,2005-10-11,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0976
BTX/2005/0977,Lymington River,B24AF,New Forest DC,SZ34809375,No. 3 Post,2005-10-10,2005-10-11,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0977
BTX/2005/0978,North Kent Coast,B061A,Thanet DC,TR353638,Pegwell Bay,2005-10-10,2005-10-11,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0978
BTX/2005/0979,Portland Harbour,B025J,Weymouth PHA,SY70597520,Eastern Ropes,2005-10-11,2005-10-11,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0979
BTX/2005/0980,Portland Harbour,B025AA,Weymouth PHA,,Lyme Bay Shellfish Company,2005-10-11,2005-10-11,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0980
BTX/2005/0981,Camel,B035K,North Cornwall DC,SW92387395,Little Petherick Creek,2005-10-11,2005-10-12,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0981
BTX/2005/0982,Blakeney,B006C,North Norfolk DC,TF990453,Simpool,2005-10-11,2005-10-12,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0982
BTX/2005/0983,Blackwater,B013F,Maldon DC,TL98611115,Tollesbury North Fleet,2005-10-11,2005-10-12,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0983
BTX/2005/0984,Brixham,B082A,Torbay BC,SX91285739,Fishcombe Cove,2005-10-11,2005-10-12,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0984
BTX/2005/0985,Dee,B045O,Wirral BC,SJ227837,Caldy Blacks,2005-10-11,2005-10-12,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0985
BTX/2005/0986,Burry Inlet,B038B,Carmarthenshire CC,SS48309960,North West,2005-10-10,2005-10-12,,Cockles,UNSUITABLE,UNSUITABLE,,UNSUITABLE,BTX/2005/0986
BTX/2005/0987,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels,2005-10-10,2005-10-12,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0987
BTX/2005/0988,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2005-10-10,2005-10-12,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0988
BTX/2005/1005,Conwy,B044H,Conwy County BC,SH761797,Morfa,2005-10-17,2005-10-18,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1005
BTX/2005/1006,Colwyn Bay,B069A,Conwy County BC,SH83208150,Rhos on Sea,2005-10-17,2005-10-18,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1006
BTX/2005/1007,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2005-10-17,2005-10-18,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1007
BTX/2005/1008,Taw/Torridge,B036F,North Devon DC,SS473321,Cool Stone,2005-10-17,2005-10-18,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1008
BTX/2005/1009,North Kent Coast,B17AM,Canterbury CC,TR082669,Pollard,2005-10-17,2005-10-18,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1009
BTX/2005/1010,North Kent Coast,B17AM,Canterbury CC,TR082669,Pollard,2005-10-17,2005-10-18,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/1010
BTX/2005/1011,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2005-10-17,2005-10-18,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/1011
BTX/2005/1012,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2005-10-17,2005-10-18,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/1012
BTX/2005/1013,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2005-10-17,2005-10-18,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1013
BTX/2005/1016,Plymouth,B032M,Plymouth PHA,SX418537,Ajax,2005-10-18,2005-10-19,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1016
BTX/2005/1017,Colne,B012F,Colchester BC,TM062160,Pyefleet Spit,2005-10-18,2005-10-19,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/1017
BTX/2005/1018,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2005-10-17,2005-10-19,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/1018
BTX/2005/1019,The Wash,,Boston BC,,Zone 2,2005-10-17,2005-10-19,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1019
