SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2003/0198,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2003-05-19,2003-05-20,,Cockles,ND,,NEGATIVE,<LOD,BTX/2003/0198
BTX/2003/0199,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2003-05-19,2003-05-20,,Mussels,,,NEGATIVE,,BTX/2003/0199
BTX/2003/0200,Plymouth,,Plymouth PHA,,Henn Point,2003-05-16,2003-05-20,,Mussels,,POSITIVE,,,BTX/2003/0200
BTX/2003/0201,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Holy Island,2003-05-19,2003-05-20,,Mussels,ND,,NEGATIVE,1.34,BTX/2003/0201
BTX/2003/0202,Brancaster,B005S,Kings Lynn & W Norfolk BC,TF815457,Norton Creek,2003-05-19,2003-05-20,,Mussels,ND,,,<LOD,BTX/2003/0202
BTX/2003/0203,Liverpool Bay- N. Wirral,B058D,Mersey PHA,SJ250920,Leasowe Lighthouse,2003-05-19,2003-05-20,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0203
BTX/2003/0204,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2003-05-19,2003-05-20,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0204
BTX/2003/0205,Morecambe Bay - East,B047D,Lancaster CC,SD407628,Heysham Flat Skeer,2003-05-19,2003-05-20,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0205
BTX/2003/0206,The Solent,B063B,Isle of Wight Council,SZ501951,Medina Wharf,2003-05-19,2003-05-20,,Native oyster,ND,,,<LOD,BTX/2003/0206
BTX/2003/0207,The Solent,B024B,Isle of Wight Council,SZ579940,Mother Bank,2003-05-19,2003-05-20,,Native oyster,ND,,,<LOD,BTX/2003/0207
BTX/2003/0208,Chichester Harbour,B018C,Havant BC,SU784016,Chichester Chnl,2003-05-19,2003-05-20,,Native oyster,ND,,,<LOD,BTX/2003/0208
BTX/2003/0209,Chichester Harbour,B018E,Havant BC,SU746005,Mill Rythe,2003-05-19,2003-05-20,,Native oyster,ND,,,<LOD,BTX/2003/0209
BTX/2003/0210,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-05-19,2003-05-20,,Cockles,,POSITIVE,,,BTX/2003/0210
BTX/2003/0211,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-05-19,2003-05-20,,Clam,,,NEGATIVE,,BTX/2003/0211
BTX/2003/0212,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-05-19,2003-05-20,,Pacific oyster,,,NEGATIVE,,BTX/2003/0212
BTX/2003/0213,Burry Inlet,B038B,Carmarthenshire CC,SS48309960,North West,2003-05-19,2003-05-20,,Cockles,,POSITIVE,,,BTX/2003/0213
BTX/2003/0214,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2003-05-20,2003-05-21,,Mussels,ND,,NEGATIVE,2.11,BTX/2003/0214
BTX/2003/0215,Southampton Water,B021F,Southampton PHA,SU479053,Hamble Estuary,2003-05-20,2003-05-21,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/0215
BTX/2003/0216,Southampton Water,B021D,Southampton PHA,SU453077,Netley,2003-05-20,2003-05-21,,Native oyster,,,NEGATIVE,<LOD,BTX/2003/0216
BTX/2003/0217,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2003-05-20,2003-05-21,,Native oyster,ND,,,<LOD,BTX/2003/0217
BTX/2003/218,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2003-05-21,2003-05-22,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/218
BTX/2003/219,Silloth,B059E,Allerdale DC,NY076517,Silloth,2003-05-21,2003-05-22,,Mussels,ND,POSITIVE,,<LOD,BTX/2003/219
BTX/2003/220,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2003-05-21,2003-05-22,,Pacific oysters,ND,,NEGATIVE,<LOD,BTX/2003/220
BTX/2003/221,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2003-05-21,2003-05-22,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/221
BTX/2003/222,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2003-05-21,2003-05-22,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/222
BTX/2003/223,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2003-05-21,2003-05-22,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/223
BTX/2003/224,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2003-05-21,2003-05-22,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/224
BTX/2003/227,Falmouth Bay,EC34,Falmouth and Truro PHA,EC34,Falmouth Bay,2003-05-27,2003-05-28,,Scallop,ND,,NEGATIVE,<LOD,BTX/2003/227
BTX/2003/228,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2003-05-27,2003-05-28,,Mussels,,,NEGATIVE,,BTX/2003/228
BTX/2003/229,Blackwater,B013F,Maldon DC,TL98611115,Tollesbury North Fleet,2003-05-23,2003-05-28,,Native oyster,ND,,,<LOD,BTX/2003/229
BTX/2003/230,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2003-05-27,2003-05-28,,Mussels,,,NEGATIVE,<LOD,BTX/2003/230
BTX/2003/231,The Thames,B076F,London PHA,TR042651,River Swale #7,2003-05-27,2003-05-28,,Cockles,ND,,NEGATIVE,,BTX/2003/231
BTX/2003/232,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2003-05-27,2003-05-28,,Cockles,,POSITIVE,,,BTX/2003/232
BTX/2003/233,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2003-05-27,2003-05-28,,Cockles,,,NEGATIVE,,BTX/2003/233
BTX/2003/234,The Thames,B16AK,London PHA,TR011860,West Maplin,2003-05-27,2003-05-28,,Cockles,,POSITIVE,,,BTX/2003/234
BTX/2003/235,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2003-05-27,2003-05-28,,Cockles,,POSITIVE,,,BTX/2003/235
BTX/2003/236,Pegwell Bay,B061A,Thanet DC,TR353638,Pegwell Bay,2003-05-27,2003-05-28,,Cockles,,,NEGATIVE,,BTX/2003/236
BTX/2003/237,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-05-27,2003-05-28,,Cockles,,POSITIVE,,,BTX/2003/237
BTX/2003/238,The Wash,B003D,Boston Borough Council,TF439377,The Gat,2003-05-27,2003-05-28,,Cockles,ND,,NEGATIVE,<LOD,BTX/2003/238
BTX/2003/239,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2003-05-27,2003-05-28,,Cockles,ND,POSITIVE,,,BTX/2003/239
BTX/2003/240,The Wash,B003B,Boston Borough Council,TF51604930,Wrangle,2003-05-27,2003-05-28,,Cockles,ND,,,,BTX/2003/240
BTX/2003/241,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2003-05-27,2003-05-28,,Cockles,,,NEGATIVE,,BTX/2003/241
BTX/2003/242,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2003-05-27,2003-05-28,,Cockles,,POSITIVE,,,BTX/2003/242
BTX/2003/243,Weymouth Bay,,Weymouth PHA,SY69167845,Mixen Buoy,2003-05-27,2003-05-28,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/243
BTX/2003/244,Portland,B025F,Weymouth PHA,SY67327662,Matchstick,2003-05-27,2003-05-28,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/244
BTX/2003/245,Salcombe,B029D,South hams DC,SX7554148,Geese quarries,2003-05-28,2003-05-29,,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2003/245
BTX/2003/246,Poole,B054Q,Poole Borough Council,SZ064858,Bournemouth Pier,2003-05-28,2003-05-29,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/246
BTX/2003/247,West Mersea,B013D,Colchester BC,,Salcott,2003-05-28,2003-05-29,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/247
BTX/2003/248,West Mersea,B013B,Colchester BC,TM027122,Free Ground West,2003-05-28,2003-05-29,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/248
BTX/2003/249,West Mersea,B013E,Colchester BC,TM000133,Strood Channel,2003-05-28,2003-05-29,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/249
BTX/2003/250,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-05-27,2003-05-28,,Pacific oyster,,,NEGATIVE,,BTX/2003/250
BTX/2003/251,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-05-27,2003-05-28,,Clam,,,NEGATIVE,,BTX/2003/251
BTX/2003/252,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2003-05-29,2003-05-30,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/252
BTX/2003/253,Camel,B035K,North Cornwall DC,,Little Petherick Creek,2003-06-02,2003-05-30,,Cockles,ND,,,<LOD,BTX/2003/253
BTX/2003/254,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2003-06-02,2003-06-03,,Cockles,,POSITIVE,,,BTX/2003/254
BTX/2003/255,The Thames,B16BH,London PHA,TQ97108520,West Shoebury Island,2003-06-02,2003-06-03,,Cockles,,,NEGATIVE,,BTX/2003/255
BTX/2003/256,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2003-06-02,2003-06-03,,Cockles,,POSITIVE,,,BTX/2003/256
BTX/2003/257,The Thames,B16AK,London PHA,TR011860,West Maplin,2003-06-02,2003-06-03,,Cockles,,POSITIVE,,,BTX/2003/257
BTX/2003/258,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2003-06-02,2003-06-03,,Cockles,,,NEGATIVE,,BTX/2003/258
BTX/2003/259,The Wash,B003B,Boston Borough Council,TF51604930,Friskney,2003-06-02,2003-06-03,,Cockles,,,NEGATIVE,,BTX/2003/259
BTX/2003/260,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-06-02,2003-06-03,,Cockles,,POSITIVE,,,BTX/2003/260
BTX/2003/261,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2003-06-02,2003-06-03,,Cockles,,,NEGATIVE,,BTX/2003/261
BTX/2003/262,The Wash,,Kings Lynn & W Norfolk BC,,Off Snettisham beach,2003-06-02,2003-06-03,,Cockles,ND,,,,BTX/2003/262
BTX/2003/263,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2003-06-02,2003-06-03,,Mussels,ND,,,,BTX/2003/263
BTX/2003/264,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2003-06-02,2003-06-03,,Pacific oyster,ND,,,,BTX/2003/264
BTX/2003/265,Blackwater,B014D,Maldon DC,TL925077,Goldhanger,2003-06-02,2003-06-03,,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2003/265
BTX/2003/266,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2003-06-02,2003-06-03,,Native oyster,ND,,,<LOD,BTX/2003/266
BTX/2003/267,The Solent,B024B,Isle of Wight Council,SZ579940,Mother Bank,2003-06-02,2003-06-03,,Native oyster,ND,,,<LOD,BTX/2003/267
BTX/2003/268,The Solent,B063B,Isle of Wight Council,SZ501951,Medina Wharf,2003-06-02,2003-06-03,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/268
BTX/2003/269,Plymouth,EC63,Plymouth PHA,,EC63,2003-06-02,2003-06-03,,Scallop,ND,,NEGATIVE,0.4,BTX/2003/269
BTX/2003/270,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2003-06-02,2003-06-03,,Cockles,ND,POSITIVE,,<LOD,BTX/2003/270
BTX/2003/271,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2003-06-02,2003-06-03,,Cockles,,POSITIVE,,,BTX/2003/271
BTX/2003/272,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2003-06-02,2003-06-03,,Mussels,,,NEGATIVE,,BTX/2003/272
BTX/2003/273,Burry Inlet,B038B,Carmarthenshire C C,SS483996,North West,2003-06-02,2003-06-03,,Cockles,ND,,NEGATIVE,<LOD,BTX/2003/273
BTX/2003/274,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2003-06-03,2003-06-04,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/274
BTX/2003/275,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2003-06-03,2003-06-04,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/275
BTX/2003/276,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2003-06-03,2003-06-04,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/276
BTX/2003/277,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2003-06-03,2003-06-04,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/277
BTX/2003/278,Poole,,Poole Council,,Round Island,2003-06-03,2003-06-04,,Mussels,ND,,,<LOD,BTX/2003/278
BTX/2003/279,Silloth,B059E,Allerdale DC,NY076517,Silloth,2003-06-02,2003-06-04,,Mussels,,,NEGATIVE,,BTX/2003/279
BTX/2003/280,Blakeney,B006C,North Norfolk DC,TF990453,Simpool,2003-06-03,2003-06-04,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/280
BTX/2003/281,The Thames,B16BM,London PHA,TQ86208400,Chapman Sands,2003-06-03,2003-06-04,,Cockles,,POSITIVE,,,BTX/2003/281
BTX/2003/0282,Southampton Water,B021F,Southampton PHA,SU479053,Hamble Estuary,2003-06-03,2003-06-05,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/0282
BTX/2003/0283,Southampton Water,B021D,Southampton PHA,SU453077,Netley,2003-06-03,2003-06-05,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/0283
BTX/2003/0284,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2003-06-03,2003-06-05,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/0284
BTX/2003/0285,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2003-06-02,2003-06-05,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0285
BTX/2003/0286,Dart,B028B,South Hams DC,SX87405598,Waddeton,2003-06-03,2003-06-05,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0286
BTX/2003/0287,Brixham,B082A,Torbay BC,SX91285739,Fishcombe Cove,2003-06-03,2003-06-05,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0287
BTX/2003/0288,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2003-06-05,2003-06-06,,Mussels,,,,<LOD,BTX/2003/0288
BTX/2003/0289,The Thames,B016D,London PHA,TQ938827,Corporation Jetty,2003-06-04,2003-06-05,,Mussels,,POSITIVE,,<LOD,BTX/2003/0289
BTX/2003/0290,The Wash,B003D,Boston Borough Council,TF439377,The Gat,2003-06-05,2003-06-06,,Mussels,,,NEGATIVE,,BTX/2003/0290
BTX/2003/0291,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2003-06-05,2003-06-06,,Cockles,,,NEGATIVE,,BTX/2003/0291
BTX/2003/0292,Ravenglass,B053C,Copeland DC,SD08359610,Ravenglass 2,2003-06-05,2003-06-06,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0292
BTX/2003/0293,St Ives Bay,B088E,Penwith DC,SW53403880,Carrick Gladden,2003-06-05,2003-06-06,,Mussels,ND,,NEGATIVE,LOD,BTX/2003/0293
BTX/2003/0294,Fishguard Harbour,B068B,Pembrokeshire CC,SM95063778,Goodwick Sands,2003-06-05,2003-06-06,,Mussels,ND,,NEGATIVE,LOD,BTX/2003/0294
BTX/2003/0295,Morecambe Bay - Barrow,B077B,Barrow BC,SD185706,Cocken Tunnel,2003-06-05,2003-06-06,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0295
BTX/2003/0296,Morecambe Bay - Roa Island,B077D,Barrow BC,SD233647,Roa Island,2003-06-05,2003-06-06,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0296
BTX/2003/0297,The Solent,,Isle of Wight Council,,Saltmead Ledge,2003-06-09,2003-06-10,,Native oyster,ND,,,<LOD,BTX/2003/0297
BTX/2003/0298,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-06-09,2003-06-10,,Cockles,,POSITIVE,,,BTX/2003/0298
BTX/2003/0299,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-06-09,2003-06-10,,Clam,,,NEGATIVE,,BTX/2003/0299
BTX/2003/0300,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-06-09,2003-06-10,,Pacific oyster,,,NEGATIVE,,BTX/2003/0300
BTX/2003/0301,The Thames,B016R,London PHA,TQ937749,Barton Point,2003-06-09,2003-06-10,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0301
BTX/2003/0302,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2003-06-10,2003-06-11,,Cockles,,,NEGATIVE,,BTX/2003/0302
BTX/2003/0303,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2003-06-10,2003-06-11,,Cockles,,POSITIVE,,,BTX/2003/0303
BTX/2003/0304,The Thames,B16AK,London PHA,TR011860,Maplin Sands West,2003-06-10,2003-06-11,,Cockles,,POSITIVE,,,BTX/2003/0304
BTX/2003/0305,Dovey,B041F,Gwynedd County BC,SN616959,Aberdyfi Slipway,2003-06-10,2003-06-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0305
BTX/2003/0306,Mawddach,B064B,Gwynedd County BC,SH635151,Crescent,2003-06-10,2003-06-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0306
BTX/2003/0307,Conwy,B044H,Conwy County BC,SH761797,Morfa,2003-06-10,2003-06-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0307
BTX/2003/0308,Colwyn Bay,B069C,Conwy County BC,SH897786,Llanddulas,2003-06-10,2003-06-11,,Mussels,ND,,,,BTX/2003/0308
BTX/2003/0309,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2003-06-10,2003-06-11,,Mussels,ND,,,,BTX/2003/0309
BTX/2003/0310,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2003-06-10,2003-06-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0310
BTX/2003/0311,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2003-06-10,2003-06-11,,Mussels,ND,,,,BTX/2003/0311
BTX/2003/0312,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2003-06-10,2003-06-11,,Mussels,ND,,,,BTX/2003/0312
BTX/2003/0313,The Wash,B003B,Boston Borough Council,TF51604930,(Friskney) Butterwick,2003-06-09,2003-06-10,,Cockles,,,NEGATIVE,,BTX/2003/0313
BTX/2003/0314,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2003-06-11,2003-06-12,,Cockles,,POSITIVE,,,BTX/2003/0314
BTX/2003/0315,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2003-06-11,2003-06-12,,Cockles,,POSITIVE,,,BTX/2003/0315
BTX/2003/0316,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2003-06-11,2003-06-12,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0316
BTX/2003/0317,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2003-06-11,2003-06-12,,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2003/0317
BTX/2003/0318,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2003-06-11,2003-06-12,,Pacific oyster,ND,,,,BTX/2003/0318
BTX/2003/0319,Camel,B035J,North Cornwall DC,SW92417788,Trebetherick Rocks,2003-06-11,2003-06-12,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0319
BTX/2003/0320,Glaslyn/Dwyryd Estuary,B074A,Gwynedd County BC,SH579365,Dwyrd Estuary,2003-06-11,2003-06-12,,Cockles,ND,,,<LOD,BTX/2003/0320
BTX/2003/0321,Taw/Torridge,B036N,Taw-Torridge DC,SS466305,Appledore Lifeboat slip,2003-06-11,2003-06-12,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0321
BTX/2003/0322,Taw/Torridge,B036F,North Devon DC,SS473321,Cool Stone,2003-06-11,2003-06-12,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0322
BTX/2003/0323,Crouch,,Maldon DC,,Purleigh Shawl,2003-06-11,2003-06-13,,Native oyster,ND,,,<LOD,BTX/2003/0323
BTX/2003/0324,The Wash,,Kings Lynn & W Norfolk BC,,Heacham Beach,2003-06-12,2003-06-13,,Cockles,,POSITIVE,,,BTX/2003/0324
BTX/2003/0325,Bigbury and Avon,B030D,South hams DC,SX67254489,Hexdown Quay,2003-06-12,2003-06-13,,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2003/0325
BTX/2003/0326,The Thames,B016D,London PHA,TQ938827,Corporation Jetty,2003-06-12,2003-06-13,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0326
BTX/2003/0327,Lymington River,B24AF,New Forest DC,SZ34809375,No. 3 Post,2003-06-11,2003-06-13,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2003/0327
BTX/2003/0330,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0330
BTX/2003/0331,Silloth,B059E,Allerdale DC,NY076517,Silloth,2003-06-16,2003-06-17,,Mussels,,,NEGATIVE,,BTX/2003/0331
BTX/2003/0332,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0332
BTX/2003/0333,The Thames,B16AK,London PHA,TR011860,West Maplin,2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0333
BTX/2003/0334,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0334
BTX/2003/0335,The Thames,B16BH,London PHA,TQ97108520,West Shoebury Island,2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0335
BTX/2003/0336,The Thames,B16BR,London PHA,TQ92208250,Phoenix,2003-06-16,2003-06-17,,Cockles,ND,POSITIVE,,<LOD,BTX/2003/0336
BTX/2003/0337,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0337
BTX/2003/0338,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2003-06-16,2003-06-17,,Cockles,,,NEGATIVE,,BTX/2003/0338
BTX/2003/0339,Morecambe Bay - East,B047D,Lancaster CC,SD407628,Heysham Flat Skeer,2003-06-16,2003-06-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0339
BTX/2003/0340,Plymouth,B032L,Plymouth PHA,SX407567,Lynher - Shillingham,2003-06-16,2003-06-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0340
BTX/2003/0341,Plymouth,EC63,Plymouth PHA,,EC63,2003-06-16,2003-06-17,,Scallop,,,,1.2,BTX/2003/0341
BTX/2003/0342,Burry Inlet,B038B,Carmarthenshire CC,SS48309960,North West,2003-06-16,2003-06-17,,Cockles,,POSITIVE,,,BTX/2003/0342
BTX/2003/0343,Plymouth,,Plymouth PHA,,Henn Point,2003-06-17,2003-06-18,,Mussels,,,NEGATIVE,,BTX/2003/0343
BTX/2003/0344,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2003-06-17,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0344
BTX/2003/0345,Brancaster,B005S,Kings Lynn & W Norfolk BC,TF815457,Norton Creek,2003-06-17,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0345
BTX/2003/0346,Teign,B027V,Teignbridge DC,SX91417275,Gappa Bank,2003-06-16,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0346
BTX/2003/0347,Exe,B26AA,Teignbridge DC,SX977809,Pool,2003-06-16,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0347
BTX/2003/0348,Chichester Harbour,B018E,Havant BC,SU746005,Mill Rythe,2003-06-17,2003-06-18,,Native oyster,ND,,,,BTX/2003/0348
BTX/2003/0349,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2003-06-17,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0349
BTX/2003/0350,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels,2003-06-17,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0350
BTX/2003/0351,Blackwater,B014D,Maldon DC,TL925077,Goldhanger,2003-06-16,2003-06-18,,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2003/0351
BTX/2003/0352,,,Maldon DC,,Ray Sands,2003-06-17,2003-06-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2003/0352
BTX/2003/0353,The Thames,B16BQ,Maldon DC,TM08800210,Buxey Sands,2003-06-17,2003-06-18,,Cockles,ND,,NEGATIVE,,BTX/2003/0353
BTX/2003/0354,The Wash,B003B,Boston Borough Council,TF51604930,Butterwick,2003-06-17,2003-06-18,,Cockles,,,NEGATIVE,,BTX/2003/0354
BTX/2003/0355,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2003-06-17,2003-06-18,,Cockles,,POSITIVE,,,BTX/2003/0355
BTX/2003/0356,The Wash,B003D,Boston Borough Council,TF439377,The Gat,2003-06-17,2003-06-18,,Cockles,,POSITIVE,,,BTX/2003/0356
BTX/2003/0357,Salcombe,B029D,South hams DC,SX7554148,Geese quarries,2003-06-17,2003-06-19,,Clam,,,NEGATIVE,,BTX/2003/0357
BTX/2003/0358,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2003-06-18,2003-06-19,,Cockles,,POSITIVE,,,BTX/2003/0358
BTX/2003/0359,Ribble,B046C,W. Lancs DC,SD328259,Salters Bank,2003-06-18,2003-06-19,,Cockles,,,NEGATIVE,,BTX/2003/0359
BTX/2003/0360,Brixham,B082A,Torbay BC,SX91285739,Fishcombe Cove,2003-06-18,2003-06-19,,Cockles,,,NEGATIVE,,BTX/2003/0360
BTX/2003/0361,The Thames,B016D,London PHA,TQ938827,Corporation Jetty,2003-06-18,2003-06-19,,Cockles,,,NEGATIVE,,BTX/2003/0361
BTX/2003/0362,Dee,B045O,Wirral BC,SJ227837,Caldy Blacks,2003-06-19,2003-06-20,,Cockles,,,NEGATIVE,,BTX/2003/0362
BTX/2003/0363,Dart,B028B,South Hams DC,SX87405598,Waddeton,2003-06-18,2003-06-20,,Cockles,,POSITIVE,,,BTX/2003/0363
BTX/2003/0364,Liverpool Bay- N. Wirral,B058D,Mersey PHA,SJ250920,Leasowe Lighthouse,2003-06-23,2003-06-24,,Cockles,,POSITIVE,,,BTX/2003/0364
BTX/2003/0365,Solent/Totland Bay,B024I,Isle of Wight Council,SZ43409340,Saltmead Ledge,2003-06-23,2003-06-24,,Cockles,,,NEGATIVE,,BTX/2003/0365
BTX/2003/0366,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2003-06-23,2003-06-24,,Cockles,,,NEGATIVE,,BTX/2003/0366
