SampleNumber,NameofSite,NameOfBed,LocalAuthority,GridReference,BedId,DateSampleArrivedAtBurnham,DateSampleArrivedAtWeymouth,DateSampleCollected,SpeciesSampled,PSPResult_STX_Equivalent,DSPResultPositive_Negative,DomoicAcid
BTX/2001/0051,Camel,Gentle Jane,N Cornwall DC,SW939747,B035A,,,2001-06-05,Mussels,ND,Negative,<LOD
BTX/2001/0052,Plymouth,Lynher Shillingham,Plymouth PHA,SX407567,B032L,,,2001-06-05,Mussels,ND,Negative,<LOD
BTX/2001/0053,Dart,Waddeton,South Hams,SX87405598,B028B,,,2001-06-05,Mussels,ND,Negative,*
BTX/2001/0054,Colne,Peewit Island,Colchester BC,TM050164,B012E,,,2001-06-06,Native oyster,ND,**,*
BTX/2001/0055,Roach,Devils Quay,London PHA,TQ972921,B073C,,,2001-06-06,Native oyster,ND,**,**
BTX/2001/0056,Brixham,Fishcombe Cove,Torbay DC,SX912573,B082A,,,2001-06-06,Mussels,ND,**,*
BTX/2001/0066,Dee,Caldy Blacks,Wirral B.C.,SJ227837,B045O,,,2001-06-11,Mussel,ND,Negative,<LOD
BTX/2001/0067,Plymouth,EC52,Plymouth PHA,MAP REF: EC52,,,,2001-06-11,Scallop,ND,Negative,<LOD
BTX/2001/0068,Fowey,Pont Pill No 38,Fowey PHA,SX155360,B070I,,,2001-06-11,C. gigas,DSP ONLY,Negative,*
BTX/2001/0069,Thames,Corporation Jetty,London PHA,TQ938827 ,B016D,,,2001-06-11,Mussel,DSP ONLY,Negative,<LOD
BTX/2001/0070,Thames,Minnis Bay,Thanet D.C.,,,,,2001-06-11,Cockles,ND,Positive,<LOD
BTX/2001/0071,Liverpool Bay,Leasowe Lighthouse,Mersey PHA,SJ250920,B058D,,,2001-06-11,Mussel,ND,Negative,<LOD
BTX/2001/0072,Fal,Turnaware Pontoon,Falmouth PHA,SW84093878,B033Z,,,2001-06-11,Mussel,41ug/100g**,Negative,10.4
BTX/2001/0073,Fal,Malpas,Falmouth PHA,SW84544276,B033C,,,2001-06-11,Mussel,51ug/100g**,Negative,8.87
BTX/2001/0074,Fal,Penryn,Falmouth PHA,SW80243386,B033T,,,2001-06-11,Native oyster,ND,Unsuitable for Testing,7.68
BTX/2001/0075,Fal,Percuil,Falmouth PHA,SW85623321,B033R,,,2001-06-11,Native oyster,Not Tested,Unsuitable for Testing,LOD
BTX/2001/0076,Thames,Chapman Sands,Thames PHA,TQ86208400,B16BM,,,2001-06-11,Cockles,DSP ONLY,Positive,*
BTX/2001/0077,Thames,Phoenix,Thames PHA,TQ92208250,B16BR,,,2001-06-11,Cockles,DSP ONLY,Positive,*
BTX/2001/0078,Thames,W. Shoebury,Thames PHA,TQ97108520,B16BH,,,2001-06-11,Cockles,DSP ONLY,Positive,*
BTX/2001/0079,Thames,N.E. Maplin Sands,Thames PHA,TR06009180,B16BI,,,2001-06-11,Cockles,DSP ONLY,Negative,*
BTX/2001/0080,Thames,Barton Point Sheppey,Thames PHA,TQ937749 ,B016R,,,2001-06-12,Mussel,Not Tested,Negative,<LOD
BTX/2001/0081,Thames,River Swale,Thames PHA,TR050658,B076G,,,2001-06-12,Mussel,Not Tested,Negative,<LOD
BTX/2001/0082,3 Rivers,St Ishmaels,Carmarthenshire C.C.,SN357073,B071E,,,2001-06-10,Mussel,Not Tested,Negative,<LOD
BTX/2001/0083,Burry Inlet,Burry Inlet N.E.,Carmarthenshire C.C.,SS500974,B038A,,,2001-06-10,Cockles,DOA,DOA,DOA
BTX/2001/0084,Morecambe Bay,Roa Island,Barrow B.C.,SD233647,B077D,,,2001-06-11,Mussel,Not Tested,Negative,<LOD
BTX/2001/0087,W Mersea,Strood Channel,Colchester BC,TM000137,B013H,,,2001-06-13,Pacific Oyster,Reported 19/6/01,NEGATIVE (reported 19/6/01),<LOD
BTX/2001/0094,Portland Harbour,Fleet Lagoon,Weymouth PHA,SY66277626,B025A,,2001-06-15,2001-06-14,Mussel,Reported 19/6/01,NEGATIVE (reported 19/6/01),<LOD
BTX/2001/0098,Menai Straits,Menai Straits E,Gwynedd CC,SH59407412,B055F,,2001-06-18,2001-06-13,Mussel,ND,NEGATIVE,<LOD
BTX/2001/0099,Portland Harbour,Several order,Weymouth PHA,SY68277575,B025F,,2001-06-19,2001-06-18,Mussel,ND,NEGATIVE,<LOD
BTX/2001/0100,Weymouth Bay,Bowleaze Cove,Weymouth PHA,,B025S,,2001-06-19,2001-06-18,Mussel,,NEGATIVE,<LOD
BTX/2001/0101,Thames,Minnis Bay,Thanet DC,TR274697,B17AD,,2001-06-19,2001-06-18,Cockles,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0102,Portsmouth,Haslar Wall,Portsmouth PHA,SZ62239847,B020E,,2001-06-19,2001-06-18,Native Oysters,ND,NEGATIVE,<LOD
BTX/2001/0103,Thames,E. Barrows,London PHA,TR22809820,B16BH,,2001-06-19,2001-06-14,Cockles,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0104,Beaulieu,Bucklers Hard,New Forest DC,SU40850019,B023A,,2001-06-19,2001-06-18,Native Oysters,,NEGATIVE,<LOD
