SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg)
BTX/2020/2385,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2024-10-07,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2401,Beaulieu,B023I,New Forest DC,SU40280135,Landing Stage,2024-10-08,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2418,West Mersea,B13AG,Colchester BC,TL9740413451,Salcott Pacifics,2024-10-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2419,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2024-10-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2420,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF79884539,Norton Creek Mussels,2024-10-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2421,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-10-13,Mussels,,,,<RL,<RL,<RL,
BTX/2020/2422,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2024-10-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2445,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2024-10-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2446,Three Rivers,B071O,Carmarthenshire CC,SN36570690,Pastoun Scar,2024-10-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2447,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2024-10-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ
